"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Return from Cart to 'Products' page via 'Continue Shopping' button","847","Return from Cart to 'Products' page via 'Continue Shopping' button","Sauce Demo SmokeTest","Sat Dec 28 17:00:14 GMT 2024","passed","Sat Dec 28 17:00:15 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkReturnToProductsPageFromCart"
"Add 1 product to Cart and navigate to Cart","941","Add 1 product to Cart and navigate to Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:12 GMT 2024","passed","Sat Dec 28 17:00:13 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingOfOneProductToCart"
"Proceed to Checkout via 'Checkout' button","811","Proceed to Checkout via 'Checkout' button","Sauce Demo SmokeTest","Sat Dec 28 17:00:15 GMT 2024","passed","Sat Dec 28 17:00:16 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkProceedToCheckoutFromCart"
"Return from 'Checkout' to Cart","936","Return from 'Checkout' to Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:17 GMT 2024","passed","Sat Dec 28 17:00:18 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkReturnToCartFromCheckoutPage"
"Check elements of empty Cart","508","Check elements of empty Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:26 GMT 2024","passed","Sat Dec 28 17:00:26 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkElementsOfEmptyCart"
"Login with not valid password and check error message","509","Login with not valid password and check error message","Sauce Demo SmokeTest","Sat Dec 28 17:00:16 GMT 2024","passed","Sat Dec 28 17:00:16 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkNotValidPassword"
"Login with empty username and check error message","601","Login with empty username and check error message","Sauce Demo SmokeTest","Sat Dec 28 17:00:14 GMT 2024","passed","Sat Dec 28 17:00:14 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyUserName"
"Check descriptions of all products in Cart","843","Check descriptions of all products in Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:28 GMT 2024","passed","Sat Dec 28 17:00:29 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDescriptionsOfAllProductsInCart"
"Add 1 product to Cart and remove it","602","Add 1 product to Cart and remove it","Sauce Demo SmokeTest","Sat Dec 28 17:00:24 GMT 2024","passed","Sat Dec 28 17:00:24 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingOneProductToCartAndRemoving"
"Login with empty password and check error message","585","Login with empty password and check error message","Sauce Demo SmokeTest","Sat Dec 28 17:00:15 GMT 2024","passed","Sat Dec 28 17:00:15 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Refresh the Cart and check that added product is still present in Cart","5272","Refresh the Cart and check that added product is still present in Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:18 GMT 2024","passed","Sat Dec 28 17:00:23 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkRefreshingCart"
"Check error messages using dataProvider","410","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 17:00:19 GMT 2024","passed","Sat Dec 28 17:00:19 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Check error messages using dataProvider","473","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 17:00:17 GMT 2024","passed","Sat Dec 28 17:00:18 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Check error messages using dataProvider","471","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 17:00:18 GMT 2024","passed","Sat Dec 28 17:00:18 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Check prices of all products in Cart","830","Check prices of all products in Cart","Sauce Demo SmokeTest","Sat Dec 28 17:00:27 GMT 2024","passed","Sat Dec 28 17:00:27 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkPricesOfAllProductsInCart"
"Add 2 products to Cart and remove two products","706","Add 2 products to Cart and remove two products","Sauce Demo SmokeTest","Sat Dec 28 17:00:25 GMT 2024","passed","Sat Dec 28 17:00:25 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingTwoProductsToCartAndRemovingBoth"
"Check positive login with standard credentials","761","Check positive login for standard user","Sauce Demo SmokeTest","Sat Dec 28 17:00:12 GMT 2024","passed","Sat Dec 28 17:00:13 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
